HIP,MH,eMH,Teff,eTeff,logg_x,elogg,L,eL,label,#Id,age,age_68L,age_68U,mass,mass_68L,mass_68U,logg_y,logg_68L,logg_68U,rad,rad_68L,rad_68U,logrho,logrho_68L,logrho_68U,logg_spec,logg
85715,0.101,0.041,5093,50,2.894,0.091,81.6138677517,5.8429356755,field,85715,0.4645,0.4074,0.5272,2.808,2.7278,2.9041,2.7336,2.7064,2.7651,11.6656,11.2384,12.0975,-2.7718,-2.8141,-2.7247,2.894,2.7336
87847,-0.005,0.042,4755,58,2.357,0.135,116.709188931,9.7844223605,field,87847,0.6581,0.5082,0.9274,2.4928,2.1961,2.7121,2.4203,2.3569,2.4801,15.6804,14.9542,16.4488,-3.2148,-3.2921,-3.1392,2.357,2.4203
88048,0.181,0.043,4959,55,2.558,0.129,104.162618197,3.9517285214,field,88048,0.4227,0.3599,0.4931,3.0283,2.9237,3.1221,2.614,2.5926,2.6328,13.9225,13.6226,14.2346,-2.9687,-2.9979,-2.9419,2.558,2.614
89047,0.073,0.026,4993,39,3.386,0.079,10.5152052264,0.4131822578,host,89047,2.1974,1.9362,2.5973,1.5802,1.5074,1.6387,3.351,3.3195,3.38,4.3009,4.2025,4.4011,-1.7217,-1.7612,-1.6838,3.386,3.351
89962,-0.135,0.019,4984,24,3.092,0.064,17.9677855514,0.5409576125,field,89962,1.9795,1.7529,2.2838,1.5663,1.5031,1.6219,3.1124,3.088,3.1356,5.6365,5.5393,5.7323,-2.0775,-2.1075,-2.0485,3.092,3.1124
90067,-0.136,0.034,4464,67,2.119,0.181,136.73858177,10.2491191729,field,90067,2.1966,1.4791,3.4348,1.5411,1.3518,1.7436,2.0397,1.964,2.1137,19.214,18.3453,20.1276,-3.6829,-3.773,-3.5939,2.119,2.0397
90344,-0.401,0.026,4464,48,2.046,0.12,152.999828427,7.4210620754,host,90344,3.5695,2.5998,5.1286,1.2646,1.1374,1.3942,1.9128,1.8506,1.9681,20.1896,19.5759,20.8135,-3.8312,-3.9035,-3.7658,2.046,1.9128
90496,-0.077,0.027,4760,39,2.673,0.108,49.6031536742,1.505117158,field,90496,1.9402,1.441,11.0952,1.6077,0.9488,1.7627,2.5958,2.3668,2.652,10.3173,10.0994,10.5307,-2.8597,-3.086,-2.7927,2.673,2.5958
91105,0.102,0.035,5183,39,2.938,0.106,88.1206714657,5.2984004509,field,91105,0.3236,0.3116,0.3364,3.1224,3.0725,3.1722,2.8043,2.7808,2.8267,11.3694,10.9851,11.7713,-2.6888,-2.729,-2.6512,2.938,2.8043
92782,-0.029,0.037,4636,57,2.321,0.148,163.574187348,16.2547442371,field,92782,0.8415,0.579,1.1423,2.3547,2.0972,2.5581,2.2127,2.1599,2.2556,19.4159,18.5177,20.3936,-3.5151,-3.5821,-3.4561,2.321,2.2127
92997,0.073,0.043,4572,84,2.515,0.201,50.1031670685,2.7224778068,field,92997,7.5913,4.3015,11.0925,1.0978,0.9862,1.3213,2.3871,2.3536,2.4523,10.8844,10.6401,11.1043,-3.0847,-3.12,-3.0312,2.515,2.3871
93864,-0.155,0.037,4506,67,2.152,0.174,88.3118018603,6.228764287,field,93864,4.4365,2.73,7.2685,1.2521,1.0821,1.4435,2.152,2.0736,2.2333,15.2025,14.5313,15.8957,-3.4691,-3.5595,-3.3735,2.152,2.152
94302,0.175,0.053,4969,71,2.854,0.142,101.902695931,6.1511257056,field,94302,0.4238,0.3637,0.5043,3.0032,2.8867,3.101,2.6305,2.6037,2.6555,13.5897,13.1528,14.0479,-2.9419,-2.9813,-2.9038,2.854,2.6305
96327,-0.003,0.066,5004,82,2.726,0.215,178.275020261,17.3123822932,field,96327,0.3125,0.2715,0.3617,3.2742,3.1451,3.3945,2.451,2.4138,2.4875,17.4464,16.5632,18.3857,-3.2295,-3.2885,-3.1713,2.726,2.451
