HIP,HD,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Notes
HIP21759,283813.0,6663.0,66.0,480.0,3.763,0.165,0.06,0.163,0.1,0.18,EPIC
HIP21813,29647.0,,,,,,,,,,EPIC
HIP21942,29869.0,5133.0,120.0,120.0,2.451,0.052,0.02,-0.82,0.12,0.36,EPIC
HIP22187,30191.0,4880.0,101.0,122.0,2.624,0.14,0.196,-0.042,0.12,0.18,EPIC
HIP22273,30390.0,,,,,,,,,,EPIC
HIP22357,284827.0,6585.0,272.0,272.0,3.695,0.144,0.144,-0.017,0.1,0.06,EPIC
HIP22382,30467.0,6253.0,239.0,199.0,3.933,0.078,0.065,0.026,0.08,0.16,EPIC
HIP22486,30632.0,,,,,,,,,,EPIC
HIP22556,286115.0,6147.0,216.0,180.0,4.015,0.24,0.2,-0.079,0.12,0.21,EPIC
HIP22568,30808.0,,,,,,,,,,EPIC
HIP22584,283929.0,7925.0,1025.0,854.0,4.053,0.126,0.231,0.031,0.12,0.1,EPIC
HIP22676,30946.0,6983.0,250.0,167.0,4.205,0.08,0.096,-0.057,0.08,0.1,EPIC
HIP22711,30944.0,6434.0,556.0,309.0,3.929,0.125,0.15,0.001,0.15,0.15,EPIC
HIP22729,31018.0,,,,,,,,,,EPIC
HIP22855,284884.0,6509.0,160.0,360.0,3.72,0.186,0.02,0.143,0.12,0.08,EPIC
HIP22967,286174.0,6547.0,234.0,195.0,4.053,0.13,0.182,0.017,0.12,0.12,EPIC
HIP23049,31566.0,6350.0,385.0,540.0,3.72,0.096,0.168,-0.039,0.12,0.3,EPIC
HIP23167,285019.0,6254.0,320.0,320.0,3.81,0.155,0.186,0.088,0.08,0.12,EPIC
HIP23361,32128.0,4815.0,76.0,57.0,2.635,0.133,0.095,0.1,0.12,0.12,EPIC
HIP23496,32346.0,6982.0,1296.0,462.0,3.73,0.186,0.155,0.014,0.12,0.12,EPIC
HIP24480,34031.0,6210.0,501.0,358.0,4.045,0.105,0.147,0.003,0.15,0.18,EPIC
HIP24535,34133.0,7302.0,239.0,658.0,3.579,0.132,0.02,0.058,0.15,0.15,EPIC
HIP24615,242223.0,6122.0,216.0,180.0,3.942,0.115,0.115,-0.059,0.15,0.21,EPIC
HIP24820,34579.0,4930.0,115.0,115.0,2.902,0.22,0.264,-0.241,0.15,0.3,EPIC
HIP25134,35062.0,,,,,,,,,,EPIC
HIP28734,41116.0,,,,,,,,,,EPIC
HIP28806,,,,,,,,,,,EPIC
HIP28843,41318.0,,,,,,,,,,EPIC
HIP29073,41788.0,,,,,,,,,,EPIC
HIP29628,42906.0,,,,,,,,,,EPIC
HIP29680,253870.0,,,,,,,,,,EPIC
HIP29826,43334.0,,,,,,,,,,EPIC
HIP29955,43624.0,,,,,,,,,,EPIC
HIP30102,43965.0,,,,,,,,,,EPIC
HIP30178,44108.0,,,,,,,,,,EPIC
HIP30218,44234.0,,,,,,,,,,EPIC
HIP30234,44211.0,,,,,,,,,,EPIC
HIP30289,255819.0,,,,,,,,,,EPIC
HIP30517,44867.0,,,,,,,,,,EPIC
HIP30588,44974.0,,,,,,,,,,EPIC
HIP30612,45065.0,,,,,,,,,,EPIC
HIP30687,45210.0,,,,,,,,,,EPIC
HIP30734,257415.0,,,,,,,,,,EPIC
HIP30774,45376.0,,,,,,,,,,EPIC
HIP30815,45506.0,,,,,,,,,,EPIC
HIP30880,45504.0,,,,,,,,,,EPIC
HIP30934,,,,,,,,,,,EPIC
HIP31144,46087.0,,,,,,,,,,EPIC
HIP31177,259160.0,,,,,,,,,,EPIC
HIP31258,46281.0,,,,,,,,,,EPIC
HIP31310,46336.0,,,,,,,,,,EPIC
HIP31353,46467.0,,,,,,,,,,EPIC
HIP31963,261669.0,,,,,,,,,,EPIC
HIP32225,48230.0,,,,,,,,,,EPIC
HIP32279,262665.0,,,,,,,,,,EPIC
HIP32306,262819.0,,,,,,,,,,EPIC
HIP32523,48994.0,,,,,,,,,,EPIC
HIP32559,263747.0,,,,,,,,,,EPIC
HIP32587,263885.0,,,,,,,,,,EPIC
HIP32614,49201.0,,,,,,,,,,EPIC
HIP33011,50106.0,,,,,,,,,,EPIC
HIP33286,266225.0,,,,,,,,,,EPIC
HIP33356,266413.0,,,,,,,,,,EPIC
HIP33397,51049.0,,,,,,,,,,EPIC
HIP33647,51749.0,,,,,,,,,,EPIC
HIP40184,,,,,,,,,,,EPIC
HIP40187,68331.0,4691.0,92.0,92.0,2.486,0.23,0.115,-0.072,0.15,0.21,EPIC
